Position X	Position Y	Position Z
-569.3820	-2106.3540	3765.5020
-627.6880	-2062.3989	3765.2209
-590.8520	-2075.9009	3765.3469
-604.2870	-2074.4661	3765.3940
-593.5160	-2073.9170	3765.3311
-600.4890	-2073.6121	3765.2529
-599.2960	-2073.7061	3765.3169
-598.5270	-2073.1101	3765.3250
-603.4660	-2072.0569	3765.4441
-598.9900	-2071.5779	3765.4551
-601.3760	-2071.5110	3765.4270
-595.4790	-2071.4690	3765.2900
-607.7540	-2071.2820	3765.3999
-591.7920	-2071.2849	3765.3101
-592.6130	-2070.9829	3765.3081
-596.8410	-2070.0769	3765.2339
-605.9480	-2069.6841	3765.3889
-595.0550	-2069.5540	3765.2830
-592.5280	-2069.1250	3765.2700
-593.5490	-2068.7190	3765.3770
-611.2180	-2068.1450	3765.2959
-598.4940	-2068.2100	3765.2700
-595.1690	-2068.2100	3765.3140
-601.4330	-2067.6499	3765.2720
-598.8850	-2067.6499	3765.3369
-594.6720	-2067.5371	3765.3589
-593.2220	-2067.5000	3765.3430
-610.8240	-2066.6130	3765.2830
-599.9310	-2066.5610	3765.3550
-594.2390	-2066.4331	3765.4160
-603.1650	-2066.1340	3765.2290
-609.9220	-2065.9490	3765.2429
-606.6680	-2065.7771	3765.2971
-598.2930	-2065.5210	3765.3081
-593.0300	-2065.3579	3765.3101
-588.6390	-2064.9561	3765.3359
-610.4040	-2064.4031	3765.2781
-600.3840	-2064.4041	3765.2681
-594.2820	-2064.2161	3765.2661
-593.5210	-2064.0090	3765.4319
-598.9660	-2063.7190	3765.2949
-603.6680	-2063.5859	3765.2439
-593.2490	-2063.2170	3765.3491
-601.4180	-2063.0420	3765.3220
-599.1830	-2062.8359	3765.2520
-603.9540	-2062.5139	3765.2671
-597.6510	-2062.4529	3765.2639
-595.4800	-2062.3960	3765.4121
-593.7140	-2062.1299	3765.2759
-607.1110	-2062.0100	3765.1880
-591.8120	-2061.6460	3765.3210
-599.7690	-2061.4651	3765.2261
-588.3930	-2061.3850	3765.2639
-611.2130	-2061.1440	3765.2729
-598.3530	-2061.1221	3765.2700
-600.4800	-2060.8870	3765.2900
-592.5950	-2060.7451	3765.2759
-610.4630	-2060.4910	3765.1990
-593.9500	-2060.4160	3765.2610
-612.4710	-2060.3149	3765.3059
-611.7480	-2060.2520	3765.4629
-605.3170	-2060.1760	3765.2390
-590.3150	-2059.8540	3765.2800
-611.6810	-2059.7510	3765.3391
-598.5890	-2059.6809	3765.2209
-600.2590	-2059.4590	3765.2439
-607.0420	-2059.1541	3765.2361
-596.2110	-2058.5649	3765.2161
-594.0550	-2058.5720	3765.2930
-593.3350	-2058.0349	3765.2480
-589.3000	-2077.3091	3765.6890
-601.8670	-2075.5911	3765.5391
-603.5070	-2075.3821	3765.6809
-596.6330	-2074.6499	3765.7000
-592.3630	-2074.4810	3765.5330
-590.7870	-2074.5420	3765.6909
-589.1120	-2073.5430	3765.4839
-597.6970	-2073.0439	3765.5100
-593.8550	-2072.7690	3765.5811
-603.1790	-2072.7090	3765.6589
-606.6470	-2072.5610	3765.7610
-603.5120	-2070.7610	3765.6890
-606.5280	-2070.5120	3765.5090
-592.0390	-2070.5549	3765.5979
-605.8650	-2070.4299	3765.7080
-591.2750	-2069.5081	3765.5281
-594.3550	-2069.3330	3765.7161
-593.3840	-2067.7500	3765.7410
-610.0130	-2067.5911	3765.7161
-591.1750	-2067.0090	3765.5381
-593.3930	-2066.3569	3765.6890
-590.3220	-2066.0610	3765.6179
-594.9370	-2065.9480	3765.7690
-589.5490	-2064.8440	3765.5100
-591.5140	-2064.7820	3765.4871
-602.9370	-2060.6531	3765.5020
-588.7120	-2059.8369	3765.7251
-592.7110	-2059.6489	3765.6641
-588.8250	-2058.8049	3765.5400
-589.2540	-2058.5710	3765.6030
-588.0960	-2071.7090	3765.2949
-584.0820	-2069.9719	3765.3120
-586.0270	-2067.8721	3765.4500
-583.4850	-2082.0359	3765.5500
-587.1630	-2066.6960	3765.6770
-586.4800	-2062.3220	3765.6541
-598.8940	-2035.7600	3765.1211
-595.3520	-2057.4150	3765.2891
-591.6320	-2057.1750	3765.2380
-589.5360	-2056.9619	3765.3191
-602.8660	-2056.6680	3765.3340
-599.4960	-2056.6411	3765.2229
-595.1720	-2056.5481	3765.2329
-610.9470	-2056.1699	3765.2490
-590.9350	-2056.1130	3765.2209
-600.4640	-2055.7881	3765.2520
-607.2600	-2055.5439	3765.2681
-600.9770	-2055.5291	3765.2881
-609.8450	-2055.2610	3765.2209
-611.5070	-2055.0730	3765.3999
-598.5700	-2054.4971	3765.2241
-596.1110	-2054.4641	3765.3611
-609.5950	-2053.9160	3765.4180
-611.5420	-2053.8821	3765.2749
-599.1900	-2053.8701	3765.3770
-595.3120	-2053.4470	3765.3359
-609.2090	-2053.2620	3765.2871
-602.5810	-2053.2810	3765.2361
-591.4550	-2053.0229	3765.2681
-608.2360	-2052.5869	3765.2629
-593.1710	-2052.5659	3765.3469
-594.1710	-2051.2930	3765.2800
-593.1260	-2051.2600	3765.3420
-595.8690	-2051.0510	3765.2219
-607.8980	-2050.8420	3765.3660
-607.2990	-2050.2649	3765.3049
-593.8860	-2049.1541	3765.2920
-599.9570	-2049.0281	3765.2759
