Position X	Position Y	Position Z
-607.0830	-2092.3821	3765.5869
-606.3700	-2090.7900	3765.5979
-568.8100	-2109.4390	3765.6021
-568.8040	-2108.0339	3765.7109
-569.0900	-2107.0459	3765.6880
-570.2600	-2105.5791	3765.6250
-570.5210	-2105.1289	3765.6741
-571.5620	-2103.8540	3765.6431
-572.3570	-2102.3640	3765.6479
-575.5190	-2097.7029	3765.6440
-577.0480	-2095.5471	3765.5171
-578.0720	-2094.3530	3765.6479
-578.7470	-2092.1931	3765.6589
-580.8850	-2090.3469	3765.5420
-581.3290	-2088.7390	3765.5310
-581.1120	-2088.0120	3765.5950
-581.1730	-2087.4270	3765.6709
-582.1570	-2086.4790	3765.4829
-620.9380	-2073.0620	3765.3611
-625.3400	-2070.8210	3765.2891
-622.7180	-2070.5811	3765.2871
-618.4390	-2070.5649	3765.3679
-624.2190	-2070.0549	3765.3411
-617.3970	-2069.9180	3765.4160
-621.1600	-2069.6560	3765.3359
-616.4130	-2069.5100	3765.3120
-624.7920	-2069.4250	3765.3550
-622.5500	-2068.3760	3765.3530
-622.7360	-2068.1841	3765.3330
-625.4730	-2068.0459	3765.3611
-622.1160	-2067.6011	3765.3201
-624.9930	-2067.3579	3765.3750
-622.3410	-2067.1460	3765.3191
-623.6520	-2066.6631	3765.3469
-623.0270	-2066.6819	3765.3040
-621.4410	-2066.3000	3765.3030
-618.4330	-2065.8440	3765.3149
-623.3810	-2065.4861	3765.2991
-622.3730	-2065.2830	3765.3379
-619.5170	-2064.9441	3765.3689
-623.3430	-2064.8740	3765.3010
-627.7230	-2064.4890	3765.4231
-624.3610	-2064.4480	3765.3049
-622.7030	-2064.3521	3765.2891
-623.1880	-2064.1221	3765.3101
-626.2870	-2063.9829	3765.2820
-624.1430	-2063.7109	3765.3730
-621.1340	-2063.6670	3765.3340
-630.5930	-2062.6489	3765.3140
-620.6050	-2062.0801	3765.2939
-624.7480	-2062.0220	3765.3401
-619.0500	-2061.8750	3765.2849
-616.5380	-2061.8779	3765.3730
-623.5260	-2061.0969	3765.3000
-627.9850	-2061.0569	3765.3550
-620.5280	-2060.7080	3765.3130
-621.0930	-2060.2280	3765.3450
-622.6980	-2060.1521	3765.2510
-617.3970	-2060.1079	3765.2290
-629.8840	-2059.9089	3765.2439
-628.3880	-2059.9060	3765.3311
-623.2680	-2059.6870	3765.3159
-629.3020	-2059.5779	3765.3081
-627.5510	-2059.1890	3765.2771
-625.3200	-2058.9189	3765.2849
-629.2800	-2058.8030	3765.2900
-615.9860	-2058.7681	3765.2539
-620.5420	-2058.3689	3765.3779
-631.4050	-2058.0950	3765.2930
-618.2720	-2064.5330	3765.5271
-617.2090	-2062.3921	3765.6531
-619.6820	-2060.5210	3765.4900
-606.4500	-2079.6521	3765.3479
-606.5730	-2078.6521	3765.3789
-606.8060	-2076.9319	3765.3550
-592.4940	-2075.5271	3765.3669
-595.0920	-2074.8450	3765.3560
-602.2340	-2074.5850	3765.3870
-604.7570	-2074.0420	3765.3979
-591.0700	-2073.0000	3765.4619
-605.6810	-2072.1721	3765.3550
-607.0420	-2071.9299	3765.4609
-591.0450	-2070.6311	3765.4050
-597.7930	-2070.3850	3765.3091
-608.2200	-2070.1479	3765.3989
-599.5660	-2069.8059	3765.2959
-613.3260	-2069.4480	3765.3760
-590.5300	-2069.2600	3765.4690
-596.6120	-2068.7261	3765.3149
-601.7910	-2067.5701	3765.3230
-603.3170	-2067.4160	3765.3210
-594.8230	-2067.3359	3765.2690
-601.9080	-2067.0210	3765.3201
-600.8120	-2066.8269	3765.3369
-599.2430	-2066.3379	3765.3840
-607.3070	-2066.0950	3765.2981
-601.8100	-2065.6130	3765.3230
-597.2810	-2065.5071	3765.2981
-600.7720	-2065.4250	3765.3530
-603.7850	-2065.0381	3765.2739
-607.4700	-2065.0081	3765.2830
-589.8930	-2064.9900	3765.4470
-610.3920	-2064.8440	3765.4089
-599.7380	-2064.7900	3765.3960
-609.3810	-2064.6589	3765.3110
-598.6610	-2064.6609	3765.3611
-593.7030	-2064.3501	3765.4399
-613.6340	-2064.1340	3765.3689
-601.1080	-2064.1399	3765.3350
-594.5000	-2064.0190	3765.2959
-598.7080	-2063.9021	3765.3811
-613.9780	-2063.8430	3765.3630
-607.6020	-2063.6890	3765.3059
-592.1040	-2063.6570	3765.2410
-606.9180	-2063.5291	3765.2881
-600.4110	-2063.2361	3765.3440
-591.3150	-2063.2681	3765.3799
-600.8980	-2063.1411	3765.3501
-594.3980	-2063.2109	3765.3291
-603.5820	-2062.8540	3765.3020
-606.8390	-2062.4939	3765.2830
-601.2530	-2062.4990	3765.3459
-589.1770	-2062.4199	3765.4409
-600.6430	-2062.1960	3765.3440
-601.7440	-2062.0081	3765.4050
-604.0670	-2061.8701	3765.3049
-611.0150	-2061.7510	3765.3701
-604.5140	-2061.7410	3765.2959
-597.2990	-2061.7280	3765.2759
-602.5090	-2061.4951	3765.3120
-606.1190	-2061.3201	3765.3091
-589.3920	-2061.1399	3765.3450
-598.2670	-2060.9231	3765.3789
-592.2630	-2060.8020	3765.3650
-604.7830	-2060.7141	3765.2900
-596.7760	-2060.5869	3765.2920
-608.5420	-2060.5010	3765.2561
-602.9140	-2060.4800	3765.3020
-610.3740	-2059.8340	3765.2041
-607.5460	-2059.8469	3765.2620
